coverlip code,treatment,values
Q,ca-rab21,52.916
Q,ca-rab21,51.384
Q,ca-rab21,122.621
Q,ca-rab21,15.654
Q,ca-rab21,61.642
Q,ca-rab21,64.016
Q,ca-rab21,40.262
Q,ca-rab21,46.567
Q,ca-rab21,65.7
Q,ca-rab21,52.11
Q,ca-rab21,22.867
Q,ca-rab21,37.935
Q,ca-rab21,20.545
Q,ca-rab21,98.849
Q,ca-rab21,67.893
Q,ca-rab21,105.805
Q,ca-rab21,89.848
Q,ca-rab21,100.242
Q,ca-rab21,6.402
Q,ca-rab21,25.601
Q,ca-rab21,20.372
Q,ca-rab21,122.374
Q,ca-rab21,78.812
Q,ca-rab21,33.967
Q,ca-rab21,26.341
Q,ca-rab21,49.654
Q,ca-rab21,109.948
Q,ca-rab21,22.086
Q,ca-rab21,125.503
Q,ca-rab21,80.99
Q,ca-rab21,25.628
Q,ca-rab21,12.89
Q,ca-rab21,12.264
Q,ca-rab21,55.593
Q,ca-rab21,29.667
Q,ca-rab21,8.635
Q,ca-rab21,101.78
Q,ca-rab21,17.981
Q,ca-rab21,25.41
Q,ca-rab21,19.554
Q,ca-rab21,98.477
Q,ca-rab21,88.566
Q,ca-rab21,12.507
Q,ca-rab21,35.157
Q,ca-rab21,31.852
Q,ca-rab21,82.702
Q,ca-rab21,37.316
Q,ca-rab21,96.696
Q,ca-rab21,30.407
Q,ca-rab21,17.577
Q,ca-rab21,56.656
Q,ca-rab21,75.593
Q,ca-rab21,66.112
Q,ca-rab21,5.563
Q,ca-rab21,3.967
Q,ca-rab21,31.374
Q,ca-rab21,13.337
Q,ca-rab21,57.251
Q,ca-rab21,19.56
Q,ca-rab21,173.614
Q,ca-rab21,16.011
Q,ca-rab21,63.754
Q,ca-rab21,16.227
Q,ca-rab21,3.954
B,MTMR2,84.295
B,MTMR2,10.481
B,MTMR2,34.888
B,MTMR2,3.59
B,MTMR2,18.171
B,MTMR2,66.619
B,MTMR2,29.451
B,MTMR2,19.387
B,MTMR2,13.654
B,MTMR2,11.718
B,MTMR2,6.508
B,MTMR2,8.183
B,MTMR2,3.706
B,MTMR2,45.263
B,MTMR2,16.279
B,MTMR2,6.894
B,MTMR2,6.451
B,MTMR2,66.374
B,MTMR2,102.619
B,MTMR2,29.21
B,MTMR2,73.929
B,MTMR2,26.858
B,MTMR2,4.732
B,MTMR2,22.647
B,MTMR2,123.359
B,MTMR2,108.586
B,MTMR2,68.828
B,MTMR2,40.394
B,MTMR2,138.756
B,MTMR2,12.779
